Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,192,0,Some Random Commen with Id 0
1,0,7,157,0,Some Random Commen with Id 1
2,0,7,21,6,Some Random Commen with Id 2
3,0,7,122,3,Some Random Commen with Id 3
4,0,7,148,0,Some Random Commen with Id 4
5,0,7,28,4,Some Random Commen with Id 5
6,0,7,44,3,Some Random Commen with Id 6
7,0,7,113,9,Some Random Commen with Id 7
8,0,7,111,8,Some Random Commen with Id 8
9,1,2,9,7,Some Random Commen with Id 9
10,2,4,196,9,Some Random Commen with Id 10
11,2,4,98,9,Some Random Commen with Id 11
12,2,4,46,3,Some Random Commen with Id 12
13,2,4,18,8,Some Random Commen with Id 13
14,3,6,186,8,Some Random Commen with Id 14
15,3,6,72,8,Some Random Commen with Id 15
16,3,6,0,3,Some Random Commen with Id 16
17,4,1,57,5,Some Random Commen with Id 17
18,5,5,35,3,Some Random Commen with Id 18
19,5,5,94,9,Some Random Commen with Id 19
20,5,5,93,1,Some Random Commen with Id 20
21,5,5,89,3,Some Random Commen with Id 21
22,6,7,136,9,Some Random Commen with Id 22
23,6,7,102,1,Some Random Commen with Id 23
24,6,7,131,4,Some Random Commen with Id 24
25,6,7,16,1,Some Random Commen with Id 25
26,6,7,70,9,Some Random Commen with Id 26
27,6,7,5,8,Some Random Commen with Id 27
28,6,7,101,6,Some Random Commen with Id 28
29,7,5,85,0,Some Random Commen with Id 29
30,7,5,5,8,Some Random Commen with Id 30
31,7,5,94,9,Some Random Commen with Id 31
32,8,8,180,6,Some Random Commen with Id 32
33,8,8,53,2,Some Random Commen with Id 33
34,9,9,89,7,Some Random Commen with Id 34
35,9,9,173,4,Some Random Commen with Id 35
36,9,9,68,5,Some Random Commen with Id 36
37,9,9,61,7,Some Random Commen with Id 37
38,9,9,152,8,Some Random Commen with Id 38
39,9,9,18,6,Some Random Commen with Id 39
40,9,9,107,9,Some Random Commen with Id 40
41,9,9,65,2,Some Random Commen with Id 41
42,9,9,125,8,Some Random Commen with Id 42
43,10,2,158,4,Some Random Commen with Id 43
44,10,2,24,9,Some Random Commen with Id 44
45,10,2,29,4,Some Random Commen with Id 45
46,10,2,70,3,Some Random Commen with Id 46
47,10,2,83,7,Some Random Commen with Id 47
48,10,2,81,0,Some Random Commen with Id 48
49,10,2,5,0,Some Random Commen with Id 49
50,10,2,126,5,Some Random Commen with Id 50
51,10,2,184,4,Some Random Commen with Id 51
52,11,8,95,7,Some Random Commen with Id 52
53,11,8,147,5,Some Random Commen with Id 53
54,11,8,40,3,Some Random Commen with Id 54
55,11,8,151,6,Some Random Commen with Id 55
56,12,2,9,2,Some Random Commen with Id 56
57,12,2,55,4,Some Random Commen with Id 57
58,12,2,101,9,Some Random Commen with Id 58
59,12,2,100,3,Some Random Commen with Id 59
60,12,2,72,3,Some Random Commen with Id 60
61,12,2,97,6,Some Random Commen with Id 61
62,12,2,82,2,Some Random Commen with Id 62
63,12,2,35,4,Some Random Commen with Id 63
64,14,8,144,9,Some Random Commen with Id 64
65,15,9,14,4,Some Random Commen with Id 65
66,15,9,153,5,Some Random Commen with Id 66
67,15,9,43,2,Some Random Commen with Id 67
68,15,9,113,7,Some Random Commen with Id 68
69,15,9,6,5,Some Random Commen with Id 69
70,15,9,3,5,Some Random Commen with Id 70
71,16,5,177,9,Some Random Commen with Id 71
72,16,5,54,3,Some Random Commen with Id 72
73,16,5,196,2,Some Random Commen with Id 73
74,18,8,88,9,Some Random Commen with Id 74
75,18,8,83,1,Some Random Commen with Id 75
76,18,8,33,5,Some Random Commen with Id 76
77,18,8,33,9,Some Random Commen with Id 77
78,18,8,87,9,Some Random Commen with Id 78
79,18,8,96,0,Some Random Commen with Id 79
80,18,8,42,7,Some Random Commen with Id 80
81,18,8,52,7,Some Random Commen with Id 81
82,18,8,33,8,Some Random Commen with Id 82
83,19,0,9,8,Some Random Commen with Id 83
84,19,0,61,3,Some Random Commen with Id 84
85,19,0,35,2,Some Random Commen with Id 85
86,19,0,137,5,Some Random Commen with Id 86
87,19,0,128,3,Some Random Commen with Id 87
88,19,0,114,5,Some Random Commen with Id 88
89,19,0,8,1,Some Random Commen with Id 89
90,20,7,48,7,Some Random Commen with Id 90
91,20,7,3,7,Some Random Commen with Id 91
92,20,7,146,7,Some Random Commen with Id 92
93,20,7,114,2,Some Random Commen with Id 93
94,20,7,198,9,Some Random Commen with Id 94
95,20,7,115,4,Some Random Commen with Id 95
96,20,7,143,8,Some Random Commen with Id 96
97,20,7,97,3,Some Random Commen with Id 97
98,20,7,168,0,Some Random Commen with Id 98
99,21,5,77,0,Some Random Commen with Id 99
100,21,5,42,8,Some Random Commen with Id 100
101,21,5,45,5,Some Random Commen with Id 101
102,22,0,181,8,Some Random Commen with Id 102
103,22,0,189,8,Some Random Commen with Id 103
104,22,0,9,6,Some Random Commen with Id 104
105,22,0,116,6,Some Random Commen with Id 105
106,22,0,99,4,Some Random Commen with Id 106
107,22,0,140,9,Some Random Commen with Id 107
108,22,0,37,9,Some Random Commen with Id 108
109,22,0,26,7,Some Random Commen with Id 109
110,23,5,170,8,Some Random Commen with Id 110
111,23,5,74,4,Some Random Commen with Id 111
112,24,5,150,0,Some Random Commen with Id 112
113,25,2,175,1,Some Random Commen with Id 113
114,26,0,170,5,Some Random Commen with Id 114
115,27,5,150,3,Some Random Commen with Id 115
116,27,5,32,6,Some Random Commen with Id 116
117,27,5,117,4,Some Random Commen with Id 117
118,27,5,72,0,Some Random Commen with Id 118
119,27,5,147,3,Some Random Commen with Id 119
120,27,5,35,4,Some Random Commen with Id 120
121,27,5,179,2,Some Random Commen with Id 121
122,27,5,191,3,Some Random Commen with Id 122
123,28,0,7,3,Some Random Commen with Id 123
124,28,0,98,7,Some Random Commen with Id 124
125,28,0,196,0,Some Random Commen with Id 125
126,28,0,177,4,Some Random Commen with Id 126
127,28,0,97,6,Some Random Commen with Id 127
128,28,0,125,4,Some Random Commen with Id 128
129,28,0,8,2,Some Random Commen with Id 129
130,29,3,162,3,Some Random Commen with Id 130
131,29,3,21,0,Some Random Commen with Id 131
132,29,3,68,1,Some Random Commen with Id 132
133,29,3,3,0,Some Random Commen with Id 133
134,29,3,85,9,Some Random Commen with Id 134
135,29,3,73,9,Some Random Commen with Id 135
136,29,3,11,5,Some Random Commen with Id 136
137,29,3,65,3,Some Random Commen with Id 137
138,30,4,31,7,Some Random Commen with Id 138
139,31,2,23,4,Some Random Commen with Id 139
140,31,2,76,9,Some Random Commen with Id 140
141,31,2,32,7,Some Random Commen with Id 141
142,31,2,62,7,Some Random Commen with Id 142
143,32,9,127,1,Some Random Commen with Id 143
144,32,9,55,4,Some Random Commen with Id 144
145,32,9,50,5,Some Random Commen with Id 145
146,32,9,72,5,Some Random Commen with Id 146
147,32,9,82,0,Some Random Commen with Id 147
148,32,9,162,0,Some Random Commen with Id 148
149,33,2,5,7,Some Random Commen with Id 149
150,33,2,193,5,Some Random Commen with Id 150
151,34,1,82,3,Some Random Commen with Id 151
152,34,1,102,4,Some Random Commen with Id 152
153,34,1,148,6,Some Random Commen with Id 153
154,34,1,168,6,Some Random Commen with Id 154
155,35,6,102,0,Some Random Commen with Id 155
156,35,6,74,9,Some Random Commen with Id 156
157,35,6,175,8,Some Random Commen with Id 157
158,35,6,152,9,Some Random Commen with Id 158
159,35,6,1,0,Some Random Commen with Id 159
160,35,6,62,7,Some Random Commen with Id 160
161,36,6,149,5,Some Random Commen with Id 161
162,36,6,172,0,Some Random Commen with Id 162
163,37,7,127,6,Some Random Commen with Id 163
164,37,7,104,1,Some Random Commen with Id 164
165,37,7,137,9,Some Random Commen with Id 165
166,37,7,157,5,Some Random Commen with Id 166
167,37,7,1,5,Some Random Commen with Id 167
168,37,7,169,4,Some Random Commen with Id 168
169,37,7,97,2,Some Random Commen with Id 169
170,37,7,8,1,Some Random Commen with Id 170
171,37,7,129,2,Some Random Commen with Id 171
172,38,6,103,8,Some Random Commen with Id 172
173,38,6,158,3,Some Random Commen with Id 173
174,38,6,156,5,Some Random Commen with Id 174
175,38,6,66,3,Some Random Commen with Id 175
176,38,6,171,9,Some Random Commen with Id 176
177,39,2,3,5,Some Random Commen with Id 177
178,39,2,100,9,Some Random Commen with Id 178
179,39,2,180,9,Some Random Commen with Id 179
180,39,2,61,7,Some Random Commen with Id 180
